date,date,happiness_rating
2019-12-30,2019-12-30,6.166666666666667
2020-02-03,2020-02-03,6.73603662786853
2020-03-02,2020-03-02,6.535164100232593
2020-03-30,2020-03-30,6.502965599051008
2020-04-06,2020-04-06,6.0272108843537415
2020-04-27,2020-04-27,6.3125
2020-05-04,2020-05-04,5.183333333333334
2020-05-11,2020-05-11,6.236438814062386
2020-05-18,2020-05-18,7.486666666666667
2020-06-01,2020-06-01,6.385991134934542
2020-06-08,2020-06-08,6.0
2020-06-22,2020-06-22,6.69525016327342
2020-06-29,2020-06-29,6.350912778904665
2020-07-06,2020-07-06,5.861111111111111
2020-07-20,2020-07-20,5.567716761588524
2020-08-03,2020-08-03,6.4526951999437765
2020-08-17,2020-08-17,6.207371693706206
2020-08-24,2020-08-24,7.0
2020-08-31,2020-08-31,5.854729004273229
2020-09-07,2020-09-07,6.071428571428571
2020-09-14,2020-09-14,6.567790949984045
2020-09-21,2020-09-21,6.0
2020-10-05,2020-10-05,6.677237002862927
2020-11-02,2020-11-02,6.046875
2020-11-30,2020-11-30,6.026909722222222
